90Deg 	 _20180413_105125_ 	 Reg 1 
Time (Sec), East Wave Probe (m), West Wave Probe (m),WaveProbe_A(m),WaveProbe_B(m),WaveProbe_C(m),StringPot_1(m),StringPot_2(m),LoadCell (N)
15625.000000, -2.905159E-5, -1.193931E-4, -1.205476E-4, 2.553218E-4, -3.510793E-4, -2.752777E-6, 1.101111E-6, 8.878134E-3
15876.000000, 3.695913E-5, -2.072226E-4, -6.111095E-5, 3.893657E-4, -5.219884E-5, 4.404443E-5, -5.450498E-5, -6.511565E-3
16129.000000, 3.695913E-5, -2.072226E-4, -3.055548E-5, 3.119181E-4, -1.936409E-4, 1.981999E-5, -1.299311E-4, 5.433306E-3
16384.000000, -7.305874E-5, -3.389667E-4, -8.789932E-5, 2.714921E-4, -3.064577E-4, 2.642666E-5, -1.112122E-4, -9.102188E-4
16641.000000, 1.495555E-5, -2.511373E-4, -7.115659E-5, 1.893636E-4, -1.452306E-4, 5.945998E-5, -1.145155E-4, 1.106266E-3
16900.000000, 1.495555E-5, -2.511373E-4, -5.064675E-5, 3.480887E-4, 1.814331E-4, 3.633666E-5, -4.679721E-5, 2.996720E-3
17161.000000, 3.695913E-5, -7.547842E-5, -2.971834E-5, 3.629824E-4, -1.414420E-4, -2.587610E-5, 1.156166E-5, 2.128512E-3
17424.000000, -2.905159E-5, -2.291799E-4, -5.148389E-5, 3.280885E-4, -1.473354E-4, -2.477499E-5, -7.157220E-6, 5.713373E-3
17689.000000, -2.905159E-5, -2.291799E-4, -7.241229E-5, 4.404300E-4, 1.852217E-5, 8.093164E-5, -2.202221E-6, 1.018045E-2
17956.000000, 1.495555E-5, -2.950520E-4, -8.538791E-5, 4.846858E-4, -7.156293E-5, 4.074110E-5, -5.560609E-5, 8.640077E-3
18225.000000, 1.495555E-5, -2.950520E-4, -7.869082E-5, 5.570270E-4, -3.275056E-4, 3.028055E-5, -1.409422E-4, -1.638394E-3
18496.000000, 1.249734E-4, -2.511373E-4, -3.515973E-5, 1.540441E-4, -2.424720E-4, 6.606665E-6, -3.853888E-6, 1.166480E-2
18769.000000, 5.896270E-5, -3.156370E-5, 4.185682E-7, 4.272384E-4, -4.857860E-4, 1.981999E-5, -5.505554E-5, -2.660640E-4
19044.000000, 5.896270E-5, -3.156370E-5, -9.041073E-5, 4.544727E-4, -1.991133E-4, 3.413443E-5, -1.447961E-4, 1.302313E-3
19321.000000, 8.096627E-5, -2.072226E-4, -3.264832E-5, 2.170235E-5, -2.428930E-4, -1.431444E-5, -5.010054E-5, 3.710892E-3
19600.000000, -7.048019E-6, -3.609241E-4, 2.511409E-6, 1.557463E-4, -4.209584E-6, 3.578610E-5, -2.807833E-5, 3.444828E-3
19881.000000, -7.048019E-6, -3.609241E-4, -8.078366E-5, 4.519195E-4, 4.125392E-5, 1.376388E-5, -1.486500E-5, -3.318798E-3
20164.000000, 5.896270E-5, -2.511373E-4, -9.585211E-5, 2.944711E-4, -1.115540E-4, 2.037055E-5, -4.679721E-5, 7.197730E-3
20449.000000, 1.029698E-4, -5.352106E-5, -1.038049E-4, 4.055361E-4, 2.487864E-4, 3.083110E-5, -1.332344E-4, 1.050252E-3
20736.000000, 1.029698E-4, -5.352106E-5, -6.613377E-5, 4.200043E-4, -1.801702E-4, -4.184221E-5, 4.844887E-5, 9.760346E-3
21025.000000, 1.029698E-4, -1.852652E-4, -2.762550E-5, 3.140458E-4, -7.871922E-5, 8.368442E-5, -1.117627E-4, 4.411060E-3
21316.000000, 1.029698E-4, -1.852652E-4, -7.617941E-5, 6.906453E-4, 2.298433E-4, 3.523554E-5, -1.002011E-4, 5.055215E-3
21609.000000, -2.905159E-5, -1.852652E-4, -3.306689E-5, 2.808539E-4, -4.079087E-4, 2.147166E-5, -7.102165E-5, 7.645838E-3
21904.000000, 3.695913E-5, -2.950520E-4, 8.789932E-6, 6.229851E-4, -2.727810E-4, 1.486500E-5, -2.367388E-5, -1.834441E-3
22201.000000, 3.695913E-5, -2.950520E-4, -3.850827E-5, 6.523471E-4, -2.492074E-4, 2.807832E-5, -1.783799E-4, -5.601346E-5
22500.000000, 5.896270E-5, -9.743577E-5, 2.092841E-5, 3.400035E-4, -1.094492E-4, -1.486500E-5, 4.954999E-6, 6.049454E-3
22801.000000, 3.695913E-5, -2.730946E-4, -5.859954E-5, 2.770241E-4, -1.102911E-4, -5.505554E-6, 5.010054E-5, 5.587343E-3
23104.000000, 3.695913E-5, -2.730946E-4, -6.864518E-5, 5.208564E-4, 2.146888E-5, 5.010054E-5, -5.450498E-5, -4.201010E-5
23409.000000, -2.905159E-5, -2.950520E-4, -7.910939E-5, 3.412801E-4, -1.203941E-4, 8.808886E-6, -9.634719E-5, 2.926704E-3
23716.000000, -2.905159E-5, -2.511373E-4, -8.162079E-5, 3.263863E-4, -2.887775E-4, 8.918997E-5, -1.536050E-4, 5.755384E-3
